,collocate,raw_frequency,MI
0,very,30065,2.4374871746270115
1,scrutinizingly,2,8.723252467365532
2,at,88224,2.5931135255697897
3,the,664835,2.9444759253902824
4,new,5749,2.5513779115302406
5,when,33378,2.4664832714218554
6,he,150774,2.087982192162144
7,came,15199,3.1196192429042195
8,into,27023,2.1563949928734703
9,well,9030,2.254002150569759
10,be,76628,2.177015008972956
11,otherwise.,116,4.6628094568191125
12,This,5484,2.598569076471327
13,young,13359,2.401360703723665
14,was,180083,2.5569735282807193
15,had,127859,2.620560904949529
16,no,35786,2.2632921236488737
17,"remained,",90,4.916589977595212
18,"therefore,",554,3.099234961178193
19,for,102923,2.439011424568974
20,to,380891,2.3313222267716616
21,continue,302,3.705972630550607
22,his,143542,2.5724546150325627
23,attendance,184,4.201463890316491
24,that.,2021,2.9036642191899653
25,Supple,1,9.416399647925477
26,as,111466,2.2016440045442853
27,"seemed,",285,3.7639104676568262
28,one,35647,1.9307116506506103
29,could,32607,2.5504779043103416
30,not,88747,1.8295172337463639
31,despise,249,3.898946751460769
32,a,299427,2.4162455158480545
33,wish,4352,2.424303220509589
34,that,160829,2.2724897666591506
35,said,48515,3.115407710198217
36,were,46077,2.045626288828213
37,my,71839,1.6354142465302588
38,brother;,84,4.985582849082163
39,or,38658,1.8496229031127704
40,extreme,516,3.170292882443914
41,unction,14,6.777342318310218
42,than,23608,1.5442833086389207
43,prescribe,16,7.336958106245641
44,dose;,2,8.723252467365532
45,also,3461,1.2670868042901324
46,let,7713,2.411647301046791
47,Georgette,10,7.113814554931431
48,sleep,1153,3.059424308216363
49,till,6332,2.608938375979887
50,came;,69,5.182293143328217
51,I,210226,1.90539335479076
52,therefore,962,2.5473851972597705
53,sufficient,468,3.26793135200783
54,"answer,",576,3.0602919872295855
55,hastily,376,3.4868105045355824
56,scribbled,45,5.6097371581551565
57,with,115760,2.2569349569503765
58,pencil,146,4.432793026217141
59,cool,507,3.881035824894239
60,rejoinder.,11,7.018504375127106
61,She,30370,1.2924136672219018
62,pouted.,5,7.8069617354913765
63,The,42985,4.410753631452878
64,help,4117,1.7866668067155174
65,laughing,728,2.8260985997287906
