,node,eigenvector_centrality,betweenness_centrality,degree_centrality
0,Clinton,0.6059363607301134,0.6947368421052631,0.7000000000000001
1,Hillary Clinton,0.26798809404178486,0.0,0.15000000000000002
2,Bush,0.18243855555276559,0.25263157894736843,0.30000000000000004
3,Trump,0.39685921837811733,0.005263157894736841,0.30000000000000004
4,Cruz,0.3731443429286966,0.17368421052631577,0.35000000000000003
5,Donald Trump,0.33043912238462675,0.005263157894736841,0.2
6,Hillary,0.1269254067691682,0.08947368421052632,0.1
7,Bernie Sanders,0.12179713064349758,0.0,0.05
8,Bill Clinton,0.12179713064349758,0.0,0.05
9,Clintons,0.12179713064349758,0.0,0.05
10,Obama,0.12179713064349758,0.0,0.05
11,Jeb Bush,0.03667199836043262,0.0,0.05
12,Romney,0.0458982791897593,0.0,0.15000000000000002
13,Barack Obama,0.12179713064349758,0.0,0.05
14,Ted Cruz,0.07500397814783705,0.0,0.05
15,Jeb,0.03667199836043262,0.0,0.05
16,Ryan,1.0556953942202656e-11,0.0,0.1
17,Kasich,0.07500397814783705,0.0,0.05
18,Bill,0.12179713064349758,0.0,0.05
19,Johnson,1.0556953942202656e-11,0.0,0.1
20,Abedin,0.02551287231150918,0.0,0.05
